id,jobname,joburl,jobcategory,companyname,companyurl,companycategory
transferchain2,Frontend Developer,https://angel.co/company/transferchain/jobs/668542-frontend-developer,ENGINEERING,TransferChain,https://transferchain.io/careers,Storage
transferchain3,DevOps Engineer,https://angel.co/company/transferchain/jobs/770496-devops-engineer,ENGINEERING,TransferChain,https://transferchain.io/careers,Storage
transferchain4,Market Segmentation and Customer Retention Specialist,https://angel.co/company/transferchain/jobs/676453-market-segmentation-and-customer-retention-specialist,MARKETING,TransferChain,https://transferchain.io/careers,Storage
transferchain5,General Application,https://angel.co/company/transferchain/jobs/673388-general-application,OTHER,TransferChain,https://transferchain.io/careers,Storage
doxychain1,General Application,https://join.com/companies/doxychain/spontaneous-application,OTHER,DoxyChain,https://join.com/companies/doxychain,Other
fyeo1, Senior Cryptographer,https://www.fyeo.io/careers-senior-cryptographer,CRYPTOGRAPHY,FYEO,https://www.fyeo.io/careers,DID
fyeo2,Senior Blockchain Developer,https://www.fyeo.io/careers-senior-blockchain-developer,ENGINEERING,FYEO,https://www.fyeo.io/careers,DID
fyeo3, React/NodeJS/GraphQL Engineer,https://www.fyeo.io/careers-react-nodejs-graphql-engineer,ENGINEERING,FYEO,https://www.fyeo.io/careers,DID
fyeo4, DevOps Engineer,https://www.fyeo.io/careers-devops-engineer,ENGINEERING,FYEO,https://www.fyeo.io/careers,DID
fyeo5, Python Backend Engineer,https://www.fyeo.io/careers-python-backend-engineer,ENGINEERING,FYEO,https://www.fyeo.io/careers,DID
fyeo6, Senior Web Engineer - Browser Extension Lead,https://www.fyeo.io/senior-web-engineer-browser-extension-lead,ENGINEERING,FYEO,https://www.fyeo.io/careers,DID
fyeo7, OSINT Security Analyst,https://www.fyeo.io/careers-osint-security-analyst,SECURITY,FYEO,https://www.fyeo.io/careers,DID
fyeo8,Head of Growth,https://www.fyeo.io/careers-head-of-growth,MARKETING,FYEO,https://www.fyeo.io/careers,DID
fyeo9, Product Manager - FYEO Identity,https://www.fyeo.io/careers-product-manager-fyeo-id,PRODUCT,FYEO,https://www.fyeo.io/careers,DID
fyeo10, Product Manager - FYEO Domain Intelligence,https://www.fyeo.io/careers-product-manager-fyeo-di,PRODUCT,FYEO,https://www.fyeo.io/careers,DID
